Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_instr.started,image_instr1.started,image_instr2.started,image_illus.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.881166900000608,16.924678999999742,16.924678999999742,16.924678999999742,16.924678999999742,16.924678999999742,0.005574900000283378,[0.6201388888888889],[-0.4152777777777778],[1],[0],[0],[1.2832371999993484],['image_next'],,,,,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,18.184542700000748,18.184542700000748,space,2.2737355000008392,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,20.47816430000057,20.47816430000057,space,1.631092899999203,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,,22.12695480000002,22.12695480000002,space,2.789761099998941,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,,24.943402900000365,24.943402900000365,space,2.333463799999663,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,,27.30916310000066,27.30916310000066,space,2.32311320000008,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,,,,,29.658037200000763,29.658037200000763,space,2.019184899998436,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,,,,,31.707556999999724,31.707556999999724,space,1.740933799997947,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,,,,,33.47387189999972,33.47387189999972,space,2.003274099999544,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,,,,,35.50590230000125,35.50590230000125,space,2.532276699999784,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,0,9,9,9,,,,,,,,,,,,,,,38.055358100000376,38.055358100000376,space,1.7132796000005328,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,0,10,10,10,,,,,,,,,,,,,,,39.788487100000566,39.788487100000566,space,1.8147310999993351,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,0,11,11,11,,,,,,,,,,,,,,,41.62109369999962,41.62109369999962,space,1.3642466999990575,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,0,12,12,12,,,,,,,,,,,,,,,43.00438539999959,43.00438539999959,space,1.6653446999989683,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,0,13,13,13,,,,,,,,,,,,,,,44.686700300000666,44.686700300000666,space,1.512566400000651,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,0,14,14,14,,,,,,,,,,,,,,,46.219736700000794,46.219736700000794,space,1.8428292000007787,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,0,15,15,15,,,,,,,,,,,,,,,48.08566100000098,48.08566100000098,space,1.0433925999986968,1,001,2023-09-27_19h12.42.272,untitled,2022.2.5,59.927499710593054,
