Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.513041100006376,12.513041100006376,3.360000118846074e-05,[0.5722222222222222],[-0.40069444444444446],[1],[0],[0],[2.271991399997205],['image_next'],,,,,,,,,,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,14.76826190000429,14.76826190000429,14.76826190000429,14.76826190000429,space,6.28043389999948,21.068590400005633,space,11.305605599998671,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,32.405604800005676,32.405604800005676,32.405604800005676,32.405604800005676,space,3.922054199996637,36.34725240000262,space,0.5311180999997305,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,36.89850400000432,36.89850400000432,36.89850400000432,36.89850400000432,space,0.4386771999998018,37.36370570000145,space,0.16079000000172528,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,37.55204290000256,37.55204290000256,37.55204290000256,37.55204290000256,space,0.9227669999963837,38.496698100003414,space,3.512134299999161,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,42.03961200000049,42.03961200000049,42.03961200000049,42.03961200000049,space,3.952899799995066,46.01124640000489,space,0.20507530000031693,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,46.2465572000001,46.2465572000001,46.2465572000001,46.2465572000001,space,0.2998262999972212,46.57783530000597,space,0.2682111999965855,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,46.882376600005955,46.882376600005955,46.882376600005955,46.882376600005955,space,0.25287679999746615,47.160862300006556,space,0.20322979999764357,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,47.40076290000434,47.40076290000434,47.40076290000434,47.40076290000434,space,0.31401390000246465,47.74413490000006,space,1.1879562000031,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,48.96765880000021,48.96765880000021,48.96765880000021,48.96765880000021,space,24.26154310000129,73.25334830000065,space,1.8378666999997222,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,0,9,9,9,,,,,,,,,,,75.12340210000548,75.12340210000548,75.12340210000548,75.12340210000548,space,0.8643387999982224,76.00245880000148,space,3.178639599995222,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,0,10,10,10,,,,,,,,,,,79.2029468000037,79.2029468000037,79.2029468000037,79.2029468000037,space,0.6240977999987081,79.85097020000103,space,1.5007352000029641,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,0,11,11,11,,,,,,,,,,,81.37463990000106,81.37463990000106,81.37463990000106,81.37463990000106,space,0.6243501999924774,82.01683380000031,space,0.7464077999975416,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,0,12,12,12,,,,,,,,,,,82.78505940000468,82.78505940000468,82.78505940000468,82.78505940000468,space,0.5470644000015454,83.35009070000524,space,0.6763036999982432,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,0,13,13,13,,,,,,,,,,,84.0571603999997,84.0571603999997,84.0571603999997,84.0571603999997,space,1.1604201999944053,85.23311380000087,space,0.4075018000003183,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,0,14,14,14,,,,,,,,,,,85.67437200000131,85.67437200000131,85.67437200000131,85.67437200000131,space,0.33550950000062585,86.03228230000241,space,11.93359590000182,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,0,15,15,15,,,,,,,,,,,97.99652800000331,97.99652800000331,97.99652800000331,97.99652800000331,space,5.308687799995823,103.32719010000437,space,3.947596499994688,581767,001,2023-10-06_13h18.21.384,Demo_timePStroop,2022.2.5,60.02400960236094,
