Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,key_resp_3.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.corr,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,Tiempo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6153012,51.6153012,0.0001025,[0.5680555555555555],[-0.3875],[1],[0],[0],[3.1890286000000287],['image_next'],,,,,,,,,,,,,,,,,,,191,1,2023-10-05_19h40.54.352,Demo_timePStroop,2022.2.5,60.00351621,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,,54.7958391,54.7958391,54.7958391,54.7958391,['space'],1.0009119,100.9719114,100.9719114,100.9719114,100.9719114,100.9719114,100.9719114,100.9719114,['space'],0,None,7.8518517,0.8294858,191,1,2023-10-05_19h40.54.352,Demo_timePStroop,2022.2.5,60.00351621,46.0046462
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,,101.905922,101.905922,101.905922,101.905922,['space'],0.8241781,137.0171663,137.0171663,137.0171663,137.0171663,137.0171663,137.0171663,137.0171663,['space'],0,None,8.8625886,0.7861949,191,1,2023-10-05_19h40.54.352,Demo_timePStroop,2022.2.5,60.00351621,35.0732611
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,,,,,,137.9213579,137.9213579,137.9213579,137.9213579,['space'],0.8199659,173.700141,173.700141,173.700141,173.700141,173.700141,173.700141,173.700141,['space'],0,None,2.4883639,0.3617023,191,1,2023-10-05_19h40.54.352,Demo_timePStroop,2022.2.5,60.00351621,35.3205195
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,,,,,,174.1673549,174.1673549,174.1673549,174.1673549,['space'],0.965797,283.1870539,283.1870539,283.1870539,283.1870539,283.1870539,283.1870539,283.1870539,['space'],0,None,11.4187501,0.6804198,191,1,2023-10-05_19h40.54.352,Demo_timePStroop,2022.2.5,60.00351621,108.7343218
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,,,,,,284.1776571,284.1776571,284.1776571,284.1776571,['space'],1.2589457,379.8526276,379.8526276,379.8526276,379.8526276,379.8526276,379.8526276,379.8526276,['space'],0,None,2.0035467,1.6173071,191,1,2023-10-05_19h40.54.352,Demo_timePStroop,2022.2.5,60.00351621,96.0333319
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,,,,,,,,,381.7062324,381.7062324,381.7062324,381.7062324,['space'],1.1469518,454.8442873,454.8442873,454.8442873,454.8442873,454.8442873,454.8442873,454.8442873,['space'],0,None,2.2364967,1.8736126,191,1,2023-10-05_19h40.54.352,Demo_timePStroop,2022.2.5,60.00351621,73.8647157
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,,,,,,,,,27.9340606,27.9340606,27.9340606,27.9340606,['space'],0.8777028,168.3152618,168.3152618,168.3152618,168.3152618,168.3152618,168.3152618,168.3152618,space,,,,6.504548,,,,,,,146.0080464
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,,,,,,,,,174.9137166,174.9137166,174.9137166,174.9137166,['space'],3.6829979,265.762741,265.762741,265.762741,265.762741,265.762741,265.762741,265.762741,space,,,,17.1881569,,,,,,,104.3541834
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,,,,,,,,,283.1799684,283.1799684,283.1799684,283.1799684,['space'],8.7125036,319.0608957,319.0608957,319.0608957,319.0608957,319.0608957,319.0608957,319.0608957,space,,,,0.9285009,,,,,,,28.0969246
120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,0,9,9,9,,,,,,,,,,,,,,,,,,,320.3153909,320.3153909,320.3153909,320.3153909,['space'],34.5929491,457.4445499,457.4445499,457.4445499,457.4445499,457.4445499,457.4445499,457.4445499,space,,,,2.7286191,,,,,,,105.264829
60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,0,10,10,10,,,,,,,,,,,,,,,,,,,32.0224104,32.0224104,32.0224104,32.0224104,['space'],1.3191321,33.3819553,33.3819553,33.3819553,33.3819553,33.3819553,33.3819553,space,0,,,,0.5411968,,,,,,,80.3042
120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,0,11,11,11,,,,,,,,,,,,,,,,,,,34.0417015,34.0417015,34.0417015,34.0417015,['space'],4.1780757,178.6182286,178.6182286,178.6182286,178.6182286,178.6182286,178.6182286,space,0,,,,1.5290073,,,,,,,141.9274587
105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,0,12,12,12,,,,,,,,,,,,,,,,,,,180.3743511,180.3743511,180.3743511,180.3743511,['space'],58.3817091,339.4227248,339.4227248,339.4227248,339.4227248,339.4227248,339.4227248,space,0,,,,3.1190047,,,,,,,103.7856693
120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,0,13,13,13,,,,,,,,,,,,,,,,,,,342.779848,342.779848,342.779848,342.779848,['space'],2.2318659,458.3294696,458.3294696,458.3294696,458.3294696,458.3294696,458.3294696,space,0,,,,1.9488835,,,,,,,115.2666392
60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,0,14,14,14,,,,,,,,,,,,,,,,,,,460.6118776,460.6118776,460.6118776,460.6118776,['space'],9.3739264,542.9128644,542.9128644,542.9128644,542.9128644,542.9128644,542.9128644,space,0,,,,3.2789947,,,,,,,76.2060551
105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,0,15,15,15,,,,,,,,,,,,,,,,,,,546.5004689,546.5004689,546.5004689,546.5004689,['space'],0.9787868,846.8745252,846.8745252,846.8745252,846.8745252,846.8745252,846.8745252,space,0,,,,134.4450498,,,,,,,102.68241
